Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.6.csv,ant-1.7.csv,0,0.78,0.5,0.61,0.8,0.51,0.72
Random Forest,camel,camel-1.2.csv,camel-1.4.csv,0,0.54,0.7,0.61,0.68,0.36,0.69
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.29,0.2,0.24,0.81,0.14,0.56
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.61,0.76,0.68,0.68,0.38,0.69
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.82,0.45,0.58,0.6,0.31,0.65
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.56,0.76,0.65,0.54,0.03,0.51
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.76,0.1,0.18,0.37,0.06,0.52
Naive Bayes,ant,ant-1.6.csv,ant-1.7.csv,0,0.71,0.39,0.5,0.76,0.39,0.66
Naive Bayes,camel,camel-1.2.csv,camel-1.4.csv,0,0.66,0.55,0.6,0.74,0.42,0.7
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.14,0.84,0.24,0.22,-0.05,0.48
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.87,0.8,0.83,0.86,0.71,0.85
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.79,0.47,0.59,0.6,0.27,0.63
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.52,0.8,0.63,0.47,-0.2,0.43
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.83,0.15,0.26,0.41,0.12,0.54
Logistic Regression,ant,ant-1.6.csv,ant-1.7.csv,0,0.81,0.46,0.58,0.8,0.5,0.7
Logistic Regression,camel,camel-1.2.csv,camel-1.4.csv,0,0.46,0.88,0.6,0.59,0.32,0.66
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.17,0.12,0.14,0.78,0.02,0.51
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.72,0.84,0.78,0.79,0.59,0.8
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.71,0.55,0.62,0.59,0.2,0.6
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.57,0.85,0.69,0.57,0.09,0.53
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.8,0.08,0.14,0.36,0.07,0.52
