,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t
loc,0.0,1.4,0.6,1.3,3.4,4.1,2.2,3.6,4.3,4.4,2.4,4.4
v(g),1.4,0.0,0.6,1.6,1.7,2.1,1.2,2.0,2.2,2.2,1.3,2.2
ev(g),0.6,0.6,0.0,0.5,0.8,0.9,0.4,0.9,0.9,1.0,0.6,0.9
iv(g),1.3,1.6,0.5,0.0,1.6,1.9,1.1,1.8,2.0,2.1,1.2,2.0
n,3.4,1.7,0.8,1.6,0.0,6.0,3.2,4.8,5.9,6.0,3.7,6.0
v,4.1,2.1,0.9,1.9,6.0,0.0,4.0,5.7,6.8,6.9,3.9,6.9
l,2.2,1.2,0.4,1.1,3.2,4.0,0.0,4.5,4.4,4.5,2.1,4.5
d,3.6,2.0,0.9,1.8,4.8,5.7,4.5,0.0,6.1,6.2,3.4,6.1
i,4.3,2.2,0.9,2.0,5.9,6.8,4.4,6.1,0.0,7.3,3.8,7.3
e,4.4,2.2,1.0,2.1,6.0,6.9,4.5,6.2,7.3,0.0,3.9,7.4
b,2.4,1.3,0.6,1.2,3.7,3.9,2.1,3.4,3.8,3.9,0.0,3.9
t,4.4,2.2,0.9,2.0,6.0,6.9,4.5,6.1,7.3,7.4,3.9,0.0
